Pin Name,Pin Index,LOC,DIFF_TERM,DRIVE,IOSTANDARD,SLEW,TIG
CLK,,AA12,,,LVCMOS15,,
mcbx_dram_addr,3,,,,SSTL15_II
mcbx_dram_addr,4,,,,SSTL15_II
mcbx_dram_addr,5,,,,SSTL15_II
mcbx_dram_addr,6,,,,SSTL15_II
mcbx_dram_addr,7,,,,SSTL15_II
mcbx_dram_addr,8,,,,SSTL15_II
mcbx_dram_addr,9,,,,SSTL15_II
mcbx_dram_addr,10,,,,SSTL15_II
mcbx_dram_addr,11,,,,SSTL15_II
mcbx_dram_addr,12,,,,SSTL15_II
DQ_Wire,,T11,,,LVCMOS25

